filog =log(abs(φι)) 

Για Εικόνες με τιμές pixels 0 ή 1
 1_1	-1.3478  	-4.4825  	-5.2461  	-6.5298 	-12.4178  	-8.7711 	-17.1818
 1_2	-1.3473  	-4.4717  	-5.1650  	-6.4461 	-12.2517  	-8.6821 	-16.8590
 1_3	-1.3478  	-4.4636  	-5.1683  	-6.4450 	-12.2517  	-8.6770 	-16.7141
 1_4	-1.3475  	-4.4851  	-5.2453  	-6.5312 	-12.4194  	-8.7738 	-17.3504
 1_5	-1.3481  	-4.4768  	-5.1700  	-6.4512 	-12.2619  	-8.6899 	-17.2102
 2_1	-1.4504  	-4.9286  	-5.0840  	-6.8624 	-12.8356  	-9.3267 	-18.3461
 2_2	-1.4512  	-4.9373  	-5.0881  	-6.8758 	-12.8577  	-9.3444 	-19.9007
 2_3	-1.4500  	-4.9166  	-5.0899  	-6.8495 	-12.8192  	-9.3078 	-17.9940
 2_4	-1.4504  	-4.9286  	-5.0840  	-6.8624 	-12.8356  	-9.3267 	-18.3461
 2_5	-1.4500  	-4.9166  	-5.0899  	-6.8495 	-12.8192  	-9.3078 	-17.9940
 3_1	-1.1752  	-5.7013  	-7.8038  	-9.9350 	-18.9499 	-12.8280 	-19.4925
 3_2	-1.1775  	-5.7949  	-7.6641  	-9.6131 	-18.2616 	-12.5150 	-20.2194
 3_3	-1.1778  	-5.7971  	-7.6845  	-9.6364 	-18.2972 	-12.5356 	-21.9966
 3_4	-1.1762  	-5.7349  	-7.8481  	-9.8948 	-18.8985 	-12.8050 	-19.4955
 3_5	-1.1778  	-5.7971  	-7.6845  	-9.6364 	-18.2972 	-12.5356 	-21.9966


Για Εικόνες με τιμές pixels 0 ή 255
1_1     -6.8891         -15.5650        -21.8699       -23.1536         -45.6654        -30.9362        -50.4294
1_2     -6.8885         -15.5542        -21.7887       -23.0699         -45.4993        -30.8472        -50.1066
1_3     -6.8891         -15.5462        -21.7921       -23.0688         -45.4993        -30.8420        -49.9617
1_4     -6.8888         -15.5676        -21.8691       -23.1550         -45.6670        -30.9388        -50.5980
1_5     -6.8894         -15.5593        -21.7938       -23.0750         -45.5095        -30.8549        -50.4577
2_1     -6.9916         -16.0112        -21.7078       -23.4862         -46.0832        -31.4918        -51.5937
2_2     -6.9924         -16.0198        -21.7119       -23.4996         -46.1053        -31.5095        -53.1483
2_3     -6.9912         -15.9991        -21.7137       -23.4733         -46.0668        -31.4729        -51.2416
2_4     -6.9916         -16.0112        -21.7078       -23.4862         -46.0832        -31.4918        -51.5937
2_5     -6.9912         -15.9991        -21.7137       -23.4733         -46.0668        -31.4729        -51.2416
3_1     -6.7165         -16.7838        -24.4276       -26.5588         -52.1975        -34.9931        -52.7401
3_2     -6.7188         -16.8774        -24.2879       -26.2369         -51.5092        -34.6801        -53.4670
3_3     -6.7191         -16.8796        -24.3083       -26.2602         -51.5447        -34.7007        -55.2442
3_4     -6.7174         -16.8174        -24.4718       -26.5186         -52.1461        -34.9700        -52.7431
3_5     -6.7191         -16.8796        -24.3083       -26.2602         -51.5447        -34.7007        -55.2442
